serial_no,race,education,income,gender,age,relationship
0002737,37,00,,2,01,03
0002795,47,02,000000,1,77,01
0002795,47,04,000000,2,76,02
0002815,47,09,022100,1,62,01
0002815,47,09,000500,2,55,21
0002845,47,11,000000,2,71,01
0002845,47,11,026000,1,45,03
0002857,28,14,058000,1,30,01
0002909,12,13,142000,1,39,01
0002909,12,13,000000,2,34,02
0002909,12,00,,1,02,03
0003006,37,09,000000,1,65,01
0003025,37,11,020000,1,42,01
0003025,37,09,012000,2,45,02
0003025,37,02,,1,07,03
0003025,37,00,,1,02,03
0003052,47,13,035000,2,54,01
0003052,47,11,038000,1,56,02
0003061,01,13,015000,1,52,01
0003061,01,13,014000,2,42,02
0003061,01,02,,1,09,03
0003061,01,10,012000,2,34,10
0003132,47,11,009800,2,19,01
0003142,47,14,060000,1,35,01
0003142,48,11,000000,2,34,02
0003142,47,00,,2,01,03
0003142,47,02,,2,07,04
0003286,47,13,032900,2,28,01
0003308,47,13,033000,2,34,01
0003319,47,15,060000,2,53,01
0003319,47,15,150000,1,52,02
0003352,47,14,039000,1,46,01
0003352,47,13,039000,2,40,02
0003419,71,13,000000,2,64,01
0003419,46,10,000000,1,51,21
0003419,47,09,000000,1,30,21
0003461,47,13,062000,1,42,01
0003461,47,10,050000,2,41,02
0003461,47,04,000000,1,15,03
0003461,47,04,,2,13,03
0003467,47,13,100000,1,36,01
0003467,47,13,100000,2,36,02
0003467,47,02,,2,07,03
0003467,47,02,,2,05,03
0003513,47,15,046000,1,47,01
0003566,37,09,030000,1,50,01
0003566,01,11,000250,2,54,02
0003566,37,03,000000,1,41,06
0003566,37,02,,2,10,08
0003585,47,13,028000,2,30,01
0003585,47,15,035000,1,30,02
0003585,47,01,,2,03,03
0003605,47,04,000000,1,49,01
0003605,47,07,000000,2,49,02
0003636,47,09,000000,2,43,01
0003636,47,02,,2,11,03
0003636,47,02,,2,08,03
0003637,66,09,017000,1,23,01
0003637,47,06,000000,2,22,02
0003637,47,01,,2,03,03
0003640,47,13,072000,1,56,01
0003640,47,13,063000,2,54,02
0003640,47,09,000000,2,26,03
0003640,68,03,,2,11,04
0003640,47,02,,1,08,08
0003677,47,04,009800,2,54,01
0003677,47,04,000000,1,54,19
0003682,47,09,023000,1,31,01
0003682,47,11,027000,2,23,19
0003710,47,12,050000,1,51,01
