serial_no,race,education,income,gender,age,relationship
0182610,47,08,030000,2,46,01
0182615,47,12,020000,2,30,01
0182615,47,10,030000,1,30,02
0182775,47,08,006900,2,63,01
0182799,47,10,034000,1,32,01
0182799,47,10,061000,2,40,02
0182799,47,10,010000,2,18,05
0182799,47,00,,2,01,08
0182924,47,09,000000,2,80,01
0182930,47,11,035000,1,42,01
0183006,47,09,063000,1,39,01
0183006,47,09,013000,2,29,02
0183006,47,03,,1,10,03
0183006,47,02,,1,08,03
0183006,47,02,,1,06,03
0183024,47,09,000000,2,76,01
0183087,47,09,024000,2,42,01
0183087,47,10,003500,1,20,03
0183096,47,13,008000,1,60,01
0183096,47,09,021000,2,57,02
0183207,47,11,040000,1,32,23
0183281,47,09,010000,2,49,01
0183281,47,09,007300,2,24,03
0183281,47,02,,1,07,08
0183287,47,03,138000,1,69,01
0183369,47,12,017500,2,35,01
0183369,47,02,,2,08,03
0183369,47,02,,2,03,03
0183391,47,09,000000,1,63,22
0183411,47,06,000000,1,60,01
0183517,47,09,000000,1,67,01
0183517,47,11,024400,2,60,02
0183517,47,09,019800,1,30,03
0183545,47,12,000000,2,73,01
0183545,47,09,000000,1,74,02
0183551,47,09,001700,2,43,01
0183551,47,07,000000,2,17,03
0183551,47,00,,2,01,08
0183577,47,13,000000,1,35,01
0183577,47,12,029000,2,30,02
0183584,47,16,026400,1,53,01
0183584,47,06,000000,1,17,03
0183584,47,03,,1,13,03
0183622,47,09,033000,1,45,01
0183629,47,07,000000,2,76,01
0183652,47,09,000000,2,29,01
0183652,47,00,,2,02,03
0183675,47,13,057000,1,32,01
0183675,47,10,005600,2,32,02
0183675,47,02,,1,09,03
0183675,47,02,,1,07,03
0183685,37,10,032000,1,24,01
0183703,47,09,026000,1,19,01
0183703,47,08,000000,2,18,02
0183703,47,00,,1,02,04
0183747,47,09,030000,1,32,01
0183747,47,07,030000,2,25,02
0183792,37,13,008000,2,28,23
0183825,47,11,103000,1,51,01
0183825,47,11,029000,2,50,02
0183862,47,08,000000,2,66,01
0183862,47,11,035000,2,45,03
0183882,11,09,051000,1,47,01
0183882,11,09,008400,2,43,02
0183902,47,13,000000,1,73,22
0183907,47,09,000000,2,66,01
0183919,47,11,000000,1,48,01
0183919,47,09,000000,2,49,02
0184006,47,11,026000,2,54,01
0184021,47,14,124000,1,39,01
0184021,47,16,140000,1,40,06
0184027,01,04,000000,2,37,01
0184027,01,09,000500,2,27,18
0184027,01,04,003200,2,25,18
0184152,47,14,075000,1,43,01
0184152,47,13,013000,2,41,02
0184152,47,04,,2,14,03
0184152,47,03,,2,12,03
0184207,47,09,024900,1,25,01
0184207,47,01,,2,03,03
0184207,47,01,,2,03,03
0184207,47,00,,1,00,03
0184207,47,12,000000,2,24,19
0184288,47,04,000000,1,77,01
0184288,47,03,000000,2,69,02
0184325,47,04,000000,2,71,22
0184355,47,09,040000,1,33,01
0184355,47,15,004000,2,35,02
0184355,47,02,,2,09,03
0184383,47,10,002000,1,20,23
0184389,37,06,000000,1,45,01
0184389,37,06,003100,2,39,02
0184389,32,09,026500,2,22,03
0184389,37,00,,2,02,08
0184414,47,11,005000,1,22,01
0184414,47,11,006400,1,22,18
0184414,47,12,003000,1,22,18
0184414,47,11,003500,1,21,18
0184416,47,04,021600,1,54,01
0184416,47,05,000000,2,57,02
0184432,47,15,005000,2,42,01
0184432,47,03,,1,11,03
0184432,47,02,,2,09,03
0184471,47,09,012000,1,47,01
0184471,47,09,018200,1,47,21
0184543,47,10,019000,2,35,01
0184543,47,03,,1,11,03
0184577,47,04,000000,1,80,01
0184607,47,12,069000,1,49,01
0184607,47,11,010000,2,53,02
0184607,47,04,000000,2,88,09
0184613,47,09,000000,2,83,01
0184632,37,12,027000,1,30,01
0184632,37,10,028500,2,35,02
0184632,37,05,000000,2,15,05
0184632,37,02,,2,10,05
0184685,47,09,042000,1,61,01
0184685,47,09,021900,2,60,02
0184724,47,09,053000,1,60,01
0184724,47,09,027500,2,50,02
0184742,47,13,060000,1,41,01
0184743,47,09,016000,1,36,01
0184743,47,09,015000,2,42,02
0184743,47,01,,1,05,03
0184808,47,07,030000,1,66,01
0184808,47,13,000000,2,68,02
0184808,47,11,003000,1,31,03
0184832,47,14,070000,1,58,01
0184832,47,11,000000,2,57,02
0184859,47,13,011000,2,57,01
0184883,47,14,157000,1,58,01
0184883,47,13,073000,2,62,02
0184932,47,13,089000,1,38,01
0184932,47,14,009000,2,38,02
0184932,47,01,,2,05,03
0184932,47,00,,2,01,03
0184934,47,11,007100,2,19,23
0184946,37,04,000000,1,84,01
0184946,37,04,000000,2,76,02
0184957,37,13,058000,1,45,01
0184957,37,09,000000,2,18,05
0184957,37,04,,1,12,05
0184957,37,02,,1,07,05
0184957,37,14,000000,2,44,19
0184957,37,06,000000,2,18,21
0184966,47,09,000000,1,54,01
0184966,47,09,000000,2,55,02
0184966,47,09,000000,1,29,03
0184972,47,13,000000,1,51,01
0184972,47,13,087000,2,48,02
0184988,47,09,000000,1,79,01
0184988,47,09,000000,2,74,02
0185027,47,09,050000,1,44,01
0185027,47,09,008900,2,42,02
0185027,47,04,,1,14,03
0185046,47,03,000000,1,63,01
0185046,47,03,000000,2,61,02
0185054,47,11,036000,2,47,01
0185071,37,12,045000,1,45,01
0185071,37,08,000000,2,39,11
0185155,47,11,000000,1,65,01
0185155,47,09,000000,2,70,02
0185157,47,11,000000,2,67,01
0185164,47,09,053000,1,56,01
0185171,47,11,000000,2,77,01
0185208,47,13,055000,1,45,01
0185208,47,10,025000,2,42,02
0185208,47,12,004900,1,19,03
0185208,47,05,000000,1,15,03
0185327,47,06,023000,1,63,01
0185327,47,06,000000,2,60,02
0185420,47,04,000000,1,73,01
0185420,47,05,000000,2,66,02
0185462,47,10,050000,1,55,01
0185462,47,13,015000,2,53,02
0185475,47,14,092000,1,56,01
0185475,11,09,004200,1,21,04
0185475,11,09,002200,2,18,04
0185491,37,11,037300,1,42,23
0185505,37,09,088000,1,34,01
0185505,37,09,000000,2,28,18
0185660,47,14,319000,1,63,01
0185660,47,13,060000,2,48,02
0185663,01,12,050000,1,29,01
0185663,71,13,014900,2,26,18
0185721,47,16,060000,2,36,01
0185721,47,16,090000,1,43,02
0185770,47,11,043900,1,64,01
0185770,47,09,000000,2,67,02
0185770,47,12,010500,2,38,03
0185770,47,02,,2,11,08
0185788,47,09,027000,1,28,01
0185788,47,12,020000,2,28,02
0185788,47,02,,2,04,03
0185814,47,14,028400,2,39,01
0185814,47,04,,1,12,03
0185814,47,02,,1,10,03
0185814,47,01,,2,06,03
0185814,47,09,000000,2,22,21
0185819,37,11,026000,1,45,01
0185833,10,08,038100,1,52,01
0185833,10,08,005400,2,53,02
0185833,10,08,015000,2,31,03
0185833,10,12,003800,2,21,03
0185833,10,11,000270,1,19,03
0185846,47,13,010000,1,24,01
0185848,47,10,067000,1,44,01
0185848,47,13,049900,2,46,02
0185848,47,10,000000,1,19,05
0185848,47,13,035000,1,24,21
0186076,37,11,024200,1,49,01
0186076,37,11,037900,2,49,02
0186076,37,11,007100,2,21,03
0186082,47,15,319000,1,46,01
0186091,47,09,017100,1,21,01
0186091,47,07,000200,2,21,02
0186091,47,00,,1,02,03
0186091,47,00,,2,00,03
0186158,47,16,000000,2,77,01
0186158,47,09,017000,1,42,03
0186164,47,11,068000,2,49,01
0186166,47,09,000000,1,59,01
0186166,47,09,000000,2,52,02
0186217,47,09,023100,1,60,01
0186217,47,08,014400,2,58,02
0186219,47,11,140000,1,34,01
0186219,47,11,080000,2,32,02
0186219,47,02,,1,07,03
0186219,47,02,,1,05,03
0186219,47,00,,1,02,03
0186219,47,00,,2,01,03
0186264,47,13,095000,1,54,01
0186269,47,10,017100,1,71,01
0186269,47,09,000000,2,69,02
0186287,47,13,000000,1,51,01
0186287,47,07,014000,1,30,03
0186287,48,05,000000,2,29,19
0186287,47,02,,1,11,21
0186287,47,01,,1,06,21
0186307,37,10,030000,1,30,01
0186322,47,13,078000,1,37,01
0186322,47,12,035000,2,44,02
0186322,47,02,,2,07,03
0186370,28,14,031000,1,35,01
0186370,28,15,000000,2,28,02
0186420,47,13,070000,1,40,01
0186420,47,09,014000,2,39,02
0186420,47,05,000000,2,16,03
0186420,47,02,,2,11,03
0186420,47,02,,1,09,03
0186461,47,12,000000,2,60,01
0186481,47,05,000000,2,74,01
0186534,47,09,046500,1,59,01
0186534,47,11,029000,2,57,02
0186544,47,10,016000,1,48,01
0186544,47,11,000000,2,39,02
0186544,47,02,,2,10,05
0186577,47,13,012000,1,44,01
0186577,47,11,004800,2,43,02
0186577,47,06,000000,2,15,03
0186595,47,12,022000,1,34,22
0186612,47,10,000000,1,52,01
0186612,47,09,000000,2,51,02
0186614,37,09,000000,1,39,22
0186634,37,08,000000,1,33,01
0186661,47,13,319000,1,52,01
0186661,47,10,000000,2,46,02
0186661,47,07,001800,1,18,05
0186732,37,12,009600,2,20,01
0186732,37,01,,2,04,03
0186732,37,00,,1,02,03
0186732,37,09,011000,1,20,19
0186759,01,14,070000,1,64,01
0186759,01,13,030000,1,45,17
0186773,37,07,000000,2,82,01
0186994,37,08,000000,2,42,01
0187013,47,13,000000,1,70,01
0187013,47,11,097000,2,53,02
0187073,47,11,038000,1,43,01
0187073,47,09,024000,2,37,02
0187073,47,02,,2,10,03
0187073,47,02,,2,09,03
0187078,47,11,000000,1,40,01
0187099,47,05,000000,1,39,01
0187099,47,09,011300,2,45,02
0187151,47,14,034000,1,46,01
0187151,47,14,033000,2,45,02
0187151,47,08,000000,2,18,03
0187151,47,04,,1,13,03
0187151,01,06,007000,1,16,20
0187157,47,13,088000,1,54,01
0187157,47,11,000000,2,54,02
0187163,47,13,000000,1,70,01
0187163,47,09,015700,2,48,02
0187163,47,09,007000,2,18,05
0187163,47,05,000000,2,16,05
0187200,47,14,044800,1,33,01
0187335,37,05,000000,2,49,01
0187335,37,06,002000,2,48,06
0187335,37,00,,2,01,08
0187335,37,06,000000,1,60,19
0187335,37,06,000000,1,60,21
0187378,47,16,068000,1,48,01
0187378,47,14,080000,2,51,02
0187378,47,12,000000,2,75,09
0187401,47,11,000000,1,71,01
0187401,47,05,000000,2,71,02
0187410,47,13,000000,1,87,01
0187410,47,13,000000,2,84,02
0187410,47,11,000000,1,51,03
0187423,47,09,005800,1,67,01
0187423,47,09,000000,2,63,02
0187423,47,11,014000,2,29,03
0187489,37,11,005000,2,19,23
0187510,47,10,000000,1,75,01
0187513,47,13,062000,1,45,01
0187513,47,09,000000,2,36,02
0187513,47,02,,2,08,03
0187513,47,00,,2,01,03
0187525,37,10,000350,2,18,23
0187584,47,09,000000,2,76,01
0187584,47,11,021000,2,36,03
0187598,47,04,028000,1,53,01
0187598,47,05,011500,1,30,03
0187598,47,01,,1,08,08
0187598,47,00,,2,01,08
0187598,47,00,,2,00,08
0187598,47,05,004000,2,23,10
0187622,47,11,037000,1,44,01
0187622,47,09,012000,2,30,02
0187622,47,05,,2,14,03
0187622,47,02,,2,04,03
0187633,47,11,079000,1,47,01
0187633,47,13,000000,2,46,02
0187635,37,11,001100,2,24,23
0187652,47,13,065000,1,44,01
0187655,37,03,000000,1,82,01
0187655,37,03,000000,2,87,02
0187728,47,11,025000,1,26,01
0187728,47,00,,1,02,03
0187728,47,00,,1,00,03
0187728,47,09,003200,1,23,19
0187755,47,12,026000,1,26,01
0187755,47,09,019000,2,21,02
0187759,37,03,000000,1,81,01
0187759,37,09,005000,1,42,03
0187783,37,11,003500,1,22,01
0187783,37,11,005000,1,24,18
0187783,37,11,004000,1,22,18
0187801,47,11,025000,1,49,01
0187801,47,04,000000,1,15,03
0187801,47,04,,1,13,03
0187836,47,12,058000,1,36,01
0187836,47,13,010000,2,24,02
0187867,47,14,000000,2,85,01
0187915,47,10,009000,2,32,01
0187915,47,06,035000,1,36,02
0187915,47,04,,1,13,03
0187915,47,02,,1,10,03
0187915,47,00,,1,00,03
0188062,47,15,040000,1,30,01
0188062,47,15,035000,2,27,02
0188062,47,00,,1,01,03
0188093,47,02,000000,2,75,01
0188109,47,13,000000,1,57,01
0188109,47,13,058000,2,54,02
0188146,47,09,028600,1,35,01
0188146,47,10,008700,2,42,02
0188146,47,03,,1,14,03
0188146,47,02,,1,08,03
0188216,47,13,000000,2,36,01
0188216,47,11,035000,1,34,02
0188216,47,00,,2,01,03
0188319,47,09,000000,1,86,01
0188367,37,09,000000,1,38,01
0188367,37,10,050000,2,37,02
0188367,37,02,,1,06,03
0188367,37,02,,2,06,03
0188367,37,00,,1,02,03
0188403,37,12,012000,1,29,01
0188403,37,11,030000,2,34,02
0188403,37,00,,1,00,03
0188421,47,16,085000,1,54,01
0188421,47,13,042000,2,54,02
0188432,47,08,000000,2,74,23
0188492,47,09,000000,2,59,01
0188492,47,08,010000,1,23,03
0188628,47,09,033000,1,41,01
0188628,47,06,000000,1,17,03
0188637,47,11,000000,2,79,01
0188651,47,11,110000,1,44,01
0188651,47,13,000500,2,39,02
0188651,47,03,,2,11,03
0188651,47,03,,2,10,03
0188651,47,02,,2,09,03
0188681,47,11,000000,1,78,01
0188681,47,10,000000,2,69,02
0188721,47,11,025400,1,37,01
0188721,47,09,013000,2,23,19
0188721,47,02,,2,07,21
0188725,28,16,030600,1,36,01
0188748,37,06,000000,2,69,01
0188748,37,04,,1,13,04
0188761,47,14,080000,2,35,01
0188777,47,10,053000,1,46,01
0188777,47,11,011000,2,51,02
0188777,47,01,,1,03,08
0188782,71,01,000000,1,39,01
0188782,71,01,000000,2,38,02
0188782,71,01,,1,10,03
0188782,71,03,,1,12,04
0188843,37,09,000000,2,76,01
0188869,47,13,143000,1,34,01
0188869,47,13,000400,2,36,02
0188869,47,02,,1,07,03
0188869,47,02,,1,07,03
0188869,47,01,,1,04,03
0188907,47,13,005700,2,48,01
0188948,47,04,035300,1,50,01
0188948,47,04,019400,2,48,02
0188960,01,11,031000,1,31,22
0188972,47,11,020000,1,58,01
0188972,47,09,007200,2,55,02
0188988,47,11,040000,1,52,01
0188996,47,13,000000,1,60,01
0188996,47,11,000000,2,41,02
0188996,47,11,006500,2,22,05
0188996,47,07,000000,1,17,05
0189000,47,03,001000,1,71,01
0189000,47,07,002500,1,23,03
0189030,47,11,003200,1,19,23
0189059,47,10,027000,1,40,01
0189059,47,11,039000,2,36,02
0189059,47,02,,2,10,03
0189059,47,02,,2,08,03
0189236,47,13,004400,1,53,01
0189243,47,11,012500,1,25,01
0189243,47,09,000000,2,22,02
0189243,47,00,,2,01,03
0189339,47,09,020000,2,46,01
0189339,47,07,000000,1,18,03
0189339,47,02,,2,06,03
0189363,47,13,057000,2,43,01
0189363,47,04,000000,2,15,03
0189363,47,04,,2,13,03
0189363,47,02,,2,10,03
0189363,47,02,,1,09,03
0189421,47,14,032500,2,33,01
0189421,47,11,045000,1,35,02
0189421,47,00,,1,00,03
0189479,47,12,043000,2,37,01
0189479,47,01,,1,04,03
0189501,47,13,080000,2,55,01
0189525,47,15,065000,1,34,01
0189525,47,13,043900,2,41,19
0189560,47,04,000000,1,93,01
0189560,47,07,019000,1,53,21
0189560,47,10,000000,2,51,21
0189565,47,12,028500,1,51,01
0189565,47,05,022900,2,56,02
0189568,47,04,000000,2,31,01
0189568,47,02,,2,11,03
0189568,47,01,,2,08,03
0189568,47,01,,2,03,03
0189597,47,09,014000,1,30,01
0189597,47,09,017500,2,20,02
0189600,47,06,011800,1,22,01
0189600,47,09,000600,2,18,19
0189736,47,06,033600,1,29,01
0189736,47,09,000000,2,24,02
0189736,47,01,,1,03,03
0189736,47,00,,2,00,03
0189736,47,02,,2,08,05
0189736,47,02,,2,06,05
0189747,47,13,064000,1,39,01
0189747,47,13,012000,2,38,02
0189747,47,02,,1,05,03
0189747,47,02,,1,04,03
0189747,47,00,,1,01,03
0189750,37,10,002300,1,18,23
0189800,47,03,000000,2,42,22
0189836,47,09,030000,1,22,01
0189861,47,05,000000,1,78,01
0189861,47,09,000000,1,18,08
0189890,47,14,050000,1,43,01
0189890,47,08,017000,1,40,06
0189905,37,09,000000,1,55,01
0189905,37,09,026000,2,55,02
0189935,47,10,025500,1,49,01
0189935,47,13,066000,2,52,02
0189935,47,09,030500,1,26,03
0189935,47,11,007500,2,24,03
0189935,47,00,,2,01,08
0189998,47,11,027500,2,49,01
0190004,37,04,033300,1,38,01
0190004,37,12,010800,2,38,02
0190004,37,02,,2,10,03
0190004,37,04,000000,2,15,05
0190004,37,04,,2,12,05
0190004,37,08,001000,2,34,06
0190006,37,14,005000,2,36,01
0190006,47,11,004000,2,34,19
0190035,47,11,025000,1,48,01
0190035,47,09,010000,2,43,02
0190035,47,07,000000,2,16,03
0190035,47,04,,2,14,03
0190035,47,03,,1,12,03
0190057,37,04,017000,1,57,01
0190133,47,04,000000,1,55,01
0190133,47,09,000000,2,52,02
0190195,47,09,039500,1,36,01
0190195,47,11,000000,2,36,02
0190195,47,05,,2,14,03
0190195,47,02,,2,07,03
0190195,47,00,,2,02,03
0190226,47,09,078000,1,26,01
0190226,47,09,035000,2,32,19
0190226,47,02,,1,09,21
0190226,47,02,,1,08,21
0190252,47,11,004000,2,63,01
0190252,47,08,000000,1,64,18
0190290,37,05,000000,2,72,01
0190303,47,07,013700,1,55,01
0190303,47,09,000000,2,50,02
0190303,47,13,006300,1,22,03
0190309,47,15,000000,1,53,01
0190331,47,13,030000,2,33,01
0190331,47,13,025000,2,33,17
0190337,47,14,072000,1,51,01
0190337,47,13,100000,2,44,02
0190337,47,03,,1,11,03
0190337,47,02,,1,07,03
0190367,37,13,000000,2,62,01
0190394,47,09,000000,1,69,01
0190394,47,09,000000,2,75,02
0190395,37,09,018500,2,45,01
0190430,47,08,000000,1,93,01
0190430,47,08,000000,2,93,02
0190430,47,09,000000,2,54,05
0190448,37,08,022000,2,46,01
0190530,47,14,088000,2,38,01
0190541,47,13,005000,2,22,01
0190541,47,11,024000,2,20,18
0190573,47,13,103000,1,46,01
0190573,47,14,050000,2,45,02
0190573,47,06,000000,1,17,03
0190573,47,04,,2,14,03
0190584,47,12,071000,1,53,01
0190584,47,09,000000,2,52,02
0190600,47,04,000000,2,55,01
0190664,47,09,008000,1,24,01
0190664,47,11,005000,2,24,02
0190664,47,02,,2,07,03
0190744,37,09,011200,1,20,23
0190778,37,15,000000,2,61,01
0190821,20,14,058000,1,37,01
0190821,20,09,011300,2,40,02
0190821,20,02,,2,11,03
0190879,47,09,001500,2,57,01
0190977,47,09,030000,2,42,01
0190977,47,09,025000,1,42,17
0190977,47,09,019000,1,40,17
0191019,37,08,040000,2,34,01
0191019,37,02,,1,08,03
0191042,47,11,000000,2,93,22
0191077,47,13,001800,1,82,01
0191101,47,13,085000,2,39,01
0191101,47,10,025000,1,39,02
0191101,47,03,,2,11,03
0191101,47,02,,2,08,03
0191258,47,13,052000,1,36,01
0191258,47,10,019900,2,31,02
0191258,47,02,,2,06,03
0191258,47,00,,1,02,03
0191383,47,14,000000,1,75,01
0191383,12,13,000000,2,72,02
0191479,37,11,017500,1,33,22
0191496,37,06,018000,1,25,22
0191502,47,14,319000,1,63,01
0191502,47,12,065000,2,62,02
0191515,47,11,000000,1,74,01
0191515,47,11,000000,2,76,02
0191515,47,14,021900,2,49,03
0191578,47,01,000000,2,51,22
0191583,47,13,029200,1,33,01
0191583,47,11,002000,2,31,02
0191583,47,02,,1,06,03
0191583,47,03,,2,10,20
0191630,47,09,024000,1,44,01
0191681,47,11,100000,1,39,01
0191681,47,11,000000,2,35,02
0191681,47,00,,1,02,03
0191681,47,05,000000,2,16,04
0191681,47,03,,1,12,04
0191681,47,04,000000,2,61,09
0191699,47,13,140000,2,41,01
0191699,47,14,095000,1,40,02
0191699,47,11,002000,2,22,03
0191699,47,11,000000,1,20,03
0191759,47,15,000000,1,35,01
0191759,47,14,050000,2,31,02
0191764,47,09,020000,1,43,01
0191898,47,11,055000,1,29,01
0191898,01,13,055000,1,48,18
0191913,37,13,002000,1,23,01
0191913,37,11,019000,2,20,02
0191923,47,12,019300,1,59,01
0191937,47,13,070000,1,41,01
0191937,47,13,032000,2,41,02
0191937,47,07,002000,2,17,03
0191937,47,04,,1,13,03
0192040,47,05,000000,1,79,01
0192040,47,05,000000,2,75,02
0192097,47,09,065000,1,38,01
0192097,47,14,015000,2,32,02
0192097,47,01,,2,06,03
0192097,47,01,,2,04,03
0192105,66,02,000000,1,63,01
0192105,47,06,012200,2,49,02
0192107,37,14,056000,2,34,01
0192156,47,11,021000,2,45,01
0192185,47,14,082000,1,46,01
0192185,47,15,005000,2,38,02
0192185,47,01,,1,04,03
0192185,47,00,,1,02,03
0192199,37,09,000000,2,53,22
0192224,01,09,035000,1,30,01
0192224,01,13,000000,2,29,02
0192350,47,09,026200,1,45,01
0192350,47,09,020800,2,43,02
0192378,37,07,011000,1,31,01
0192378,37,09,008000,2,26,02
0192378,37,02,,2,09,03
0192378,37,02,,2,06,03
0192387,32,09,021500,1,41,01
0192387,32,11,025700,2,38,02
0192387,36,06,000000,2,16,03
0192387,65,02,,2,08,03
0192387,29,00,,1,01,03
0192467,47,14,075000,1,44,01
0192467,47,13,001600,2,45,02
0192467,47,04,,1,14,03
0192467,47,03,,2,11,03
0192477,47,15,070000,1,38,01
0192477,47,14,000800,2,37,02
0192477,47,01,,2,04,03
0192485,47,09,000000,1,80,01
0192485,47,07,000000,2,80,02
0192514,47,13,042000,2,30,01
0192549,47,04,000000,1,53,01
0192549,47,09,014800,2,53,02
0192549,47,03,,2,13,04
0192556,47,15,045000,1,42,01
0192556,47,13,000000,2,40,02
0192556,47,04,,2,13,03
0192556,47,03,,2,11,03
0192556,47,02,,1,08,03
0192570,47,14,000000,1,51,01
0192593,47,14,021600,2,31,01
0192593,47,14,036100,1,26,19
0192665,47,11,000000,2,42,01
0192665,47,11,065000,1,42,02
0192665,47,02,,2,08,03
0192665,47,02,,2,05,03
0192665,47,04,,2,11,05
0192751,47,03,000000,2,68,01
0192761,47,13,080000,1,35,01
0192761,47,13,018000,2,33,02
0192761,47,00,,1,02,03
0192894,47,09,010800,1,19,23
0192942,47,13,025000,2,24,01
0192961,47,09,000000,2,71,01
0192967,47,09,050000,2,35,01
0192967,47,07,000000,1,41,02
0192967,47,08,000000,1,17,03
0192990,47,10,053000,1,45,01
0192990,47,09,000000,2,54,02
0192990,47,06,000000,2,33,05
0192990,47,02,,2,10,08
0192990,47,02,,1,08,08
0192990,47,02,,2,06,08
0193048,47,12,000000,1,52,01
0193048,47,04,000000,1,79,07
0193106,47,09,011000,2,37,01
0193106,47,07,040000,1,36,19
0193158,47,10,000000,1,64,01
0193158,47,07,000000,2,61,02
0193158,47,01,000000,2,37,03
0193184,37,05,000000,2,75,01
0193184,37,07,012000,1,69,02
0193235,47,07,021000,1,42,01
0193235,47,09,000000,2,40,02
0193235,47,12,015000,2,21,03
0193235,47,02,,2,08,03
0193256,47,09,000000,1,84,01
0193297,47,04,000000,2,83,01
0193316,47,13,090000,1,62,01
0193316,47,09,000000,2,62,02
0193336,47,03,000000,2,66,01
0193346,47,05,000000,2,15,22
0193374,47,16,012000,2,59,01
0193374,47,16,091000,1,64,02
0193609,37,09,005700,2,40,01
0193609,37,09,005100,2,21,03
0193609,37,04,000000,2,15,03
0193609,37,00,,1,01,08
0193631,47,13,007100,1,36,01
0193631,47,12,000140,2,36,02
0193631,47,01,,1,07,03
0193631,47,01,,2,05,03
0193640,47,14,110000,1,54,01
0193640,47,10,000000,2,52,02
0193672,47,08,019000,2,22,01
0193672,47,02,,2,05,03
0193672,47,01,,1,03,03
0193756,47,13,045000,2,29,01
0193764,47,04,000000,1,86,01
0193764,47,09,000000,2,79,02
0193773,47,10,052000,1,59,01
0193773,47,10,000000,2,59,02
0193778,47,13,036000,1,44,01
0193778,47,13,030000,2,44,02
0193778,47,08,000300,2,17,03
0193778,47,04,,1,13,03
0193787,47,09,000000,1,57,22
0193867,47,13,140000,1,44,01
0193867,47,13,000000,2,42,02
0193867,47,05,001500,1,16,03
0193867,47,05,000000,1,16,03
0193867,47,03,,1,12,03
0193867,47,02,,1,08,03
0193869,47,09,028000,1,36,01
0193869,47,12,019000,2,33,02
0193869,47,00,,2,00,04
0193896,47,13,026000,1,52,01
0193896,47,13,062000,2,48,02
0193896,47,09,002000,1,18,03
0193896,47,03,,2,11,03
0193896,47,05,006800,2,17,21
0193939,47,05,000000,2,66,01
0193993,47,09,024000,2,30,01
0193993,47,02,,2,06,03
0194004,37,04,000000,2,72,01
0194008,47,11,000000,2,84,01
0194008,47,09,034900,1,54,03
0194016,47,13,000000,2,40,01
0194016,47,14,170000,1,40,02
0194016,47,03,,1,12,03
0194016,47,02,,2,10,03
0194016,47,02,,1,07,03
0194050,47,13,000000,2,30,01
0194050,47,14,000000,1,31,02
0194055,47,10,075000,1,55,01
0194055,47,10,100000,2,54,02
0194079,47,12,000000,1,46,01
0194079,47,09,038000,2,39,02
0194086,47,11,020000,1,33,01
0194086,47,11,026000,2,28,02
0194086,47,02,,1,10,03
0194086,47,00,,2,02,03
0194086,47,00,,1,00,03
0194128,47,10,003000,2,18,23
0194134,47,09,023000,2,58,01
0194134,47,09,017000,1,57,02
0194134,47,09,005000,1,21,03
0194197,47,12,010000,2,44,01
0194197,47,09,000600,2,19,03
0194224,47,10,000000,1,19,23
0194230,37,13,000000,2,52,01
0194230,37,07,000000,1,18,03
0194230,37,04,,2,14,03
0194253,47,11,052000,1,42,01
0194253,47,11,041000,2,40,02
0194253,47,04,000000,2,16,03
0194253,47,02,,1,10,03
0194298,37,09,000000,2,55,01
0194298,37,09,000000,1,57,02
0194298,37,09,025500,1,28,03
0194298,37,03,,1,11,08
0194324,47,11,110000,1,48,01
0194324,47,09,002100,2,48,02
0194350,71,12,036000,1,43,01
0194350,47,10,000000,2,47,02
0194350,65,02,,2,10,03
0194350,65,02,,2,07,03
0194398,37,05,006000,1,60,01
0194398,37,09,012000,2,38,02
0194398,37,07,001000,2,17,03
0194398,37,08,001000,2,17,03
0194398,37,01,,1,10,03
0194401,47,04,000000,2,71,01
0194401,47,09,015000,2,30,03
0194434,47,13,065000,2,36,01
0194439,37,10,000000,1,75,01
0194493,47,11,026000,2,54,01
0194516,47,11,024500,1,47,01
0194516,47,10,021500,2,46,02
0194564,47,16,085000,1,48,01
0194658,37,06,000000,1,59,01
0194658,37,09,000000,2,58,02
0194658,37,09,000000,2,39,03
0194658,37,04,,1,14,08
0194658,37,02,,1,10,08
0194731,47,11,058000,1,31,01
0194731,47,09,000000,2,37,02
0194731,47,03,,1,10,03
0194731,47,02,,1,05,03
0194731,47,01,,1,03,03
0194731,47,10,002100,2,18,05
0194738,47,13,015900,1,32,01
0194738,47,13,035300,1,25,18
0194796,47,11,055000,2,44,01
0194796,47,10,014000,1,19,03
0194796,47,06,013800,1,18,03
0194796,47,10,000000,1,16,03
0194796,47,11,012500,2,22,17
0194797,37,03,000000,1,80,01
0194797,37,03,000000,2,74,02
0194809,47,11,025000,1,35,01
0194809,47,13,027000,2,32,02
0194809,47,01,,1,08,03
0194846,37,14,060000,1,55,01
0194846,37,14,050000,2,56,02
0194846,37,06,,2,14,03
0194862,47,06,000000,2,66,01
0194913,47,09,028000,1,39,01
0194913,47,09,000000,2,32,02
0194913,47,04,,2,13,03
0194913,47,03,,2,11,03
0194913,47,01,,1,04,03
0194950,47,16,050000,1,31,01
0194950,47,13,028000,2,31,02
0194950,47,01,,2,06,03
0194950,47,00,,2,01,03
0194974,37,11,012000,2,31,01
0194974,37,09,024000,1,32,02
0194974,37,04,000000,2,15,03
0194974,37,02,,2,07,03
0194974,37,02,,1,09,04
0194990,37,09,021000,1,28,01
0194990,37,05,000980,2,23,02
0194990,37,01,,2,03,03
0194990,37,00,,1,01,03
0194990,37,02,,2,07,05
